zone_id,emp_diff,hh_diff,emp_diff_pct,hh_diff_pct,emp_multiplier,hh_multiplier
312,-381,184,-0.765060241,0.369477912,1,1
313,-792,-165,-0.759348035,-0.158197507,1,1
314,0,0,#DIV/0!,1,1,1
315,1168,-11,44.92307692,-0.423076923,1,1
316,105,255,3.75,9.107142857,1,1
317,-387,-355,-0.670710572,-0.6152513,1,1
318,-162,52,-0.421875,0.135416667,1,1
319,-1201,-1398,-0.857857143,-0.998571429,1,1
320,-1092,-860,-0.907730673,-0.714879468,1,1
321,-3496,-667,-0.952069717,-0.18164488,1,1
322,-120,-28,-0.833333333,-0.194444444,1,1
323,-229,139,-0.650568182,0.394886364,1,1
324,-1231,-58,-0.832319135,-0.039215686,1,1
325,860,-6,14.82758621,-0.103448276,1,1
326,28,6,0.107692308,0.023076923,1,1
327,-371,-116,-0.803030303,-0.251082251,1,1
328,200,164,1.923076923,1.576923077,1,1
329,-231,-30,-0.858736059,-0.111524164,1,1
330,7,-411,0.12962963,-7.611111111,1,1
331,285,-172,2.96875,-1.791666667,1,1
332,-1421,-481,-0.868051313,-0.293830177,1,1
333,-4143,-91,-1,-0.02196476,1,1
334,-142,-311,-0.953020134,-2.087248322,1,1
335,-253,-766,-0.295906433,-0.895906433,1,1
336,540,1010,4,7.481481481,1,1
337,31,267,2.818181818,24.27272727,1,1
338,-423,-152,-0.863265306,-0.310204082,1,1
339,60,-790,0.588235294,-7.745098039,1,1
340,-82,-126,-0.343096234,-0.527196653,1,1
341,-97,-588,-0.203354298,-1.232704403,1,1
342,-2643,-329,-0.960043589,-0.119505993,1,1
343,-317,-743,-0.535472973,-1.255067568,1,1
344,-849,68,-0.885297185,0.070907195,1,1
345,763,7,4.829113924,0.044303797,1,1
346,-627,-932,-0.864827586,-1.285517241,1,1
347,-145,427,-0.356265356,1.049140049,1,1
348,-1970,124,-0.93100189,0.058601134,1,1
349,-765,190,-0.891608392,0.221445221,1,1
350,-552,483,-0.481675393,0.421465969,1,1
351,-1660,-128,-0.832080201,-0.064160401,1,1
352,666,452,5.842105263,3.964912281,1,1
353,789,243,71.72727273,22.09090909,1,1
354,500,97,55.55555556,10.77777778,1,1
355,331,-1170,1.561320755,-5.518867925,1,1
356,394,-5,39.4,-0.5,1,1
357,431,31,25.35294118,1.823529412,1,1
358,-197,208,-0.506426735,0.53470437,1,1
359,25,463,#DIV/0!,1,1,1
360,885,-89,23.91891892,-2.405405405,1,1
361,1068,-41,4.684210526,-0.179824561,1,1
362,1409,-21,74.15789474,-1.105263158,1,1
363,734,316,14.11538462,6.076923077,1,1
364,423,25,5.957746479,0.352112676,1,1
365,830,198,14.31034483,3.413793103,1,1
366,-267,213,-0.771676301,0.615606936,1,1
367,-17,-157,-0.064393939,-0.59469697,1,1
368,2242,60,1121,30,1,1
369,413,627,1.885844749,2.863013699,1,1
370,-101,365,-0.111973392,0.404656319,1,1
