sim_year,county_id,total_number_of_households
2039,8005,366589
2039,8013,172902
2039,8014,29202
2039,8019,7257
2039,8031,371193
2039,8035,176940
2039,8039,7828
2039,8047,3894
2039,8059,285740
2039,8123,40465
2040,8001,298886
2040,8005,369866
2040,8013,173817
2040,8014,29348
2040,8019,7265
2040,8031,373599
2040,8035,178529
2040,8039,7822
2040,8047,3892
2040,8059,287409
2040,8123,40634
