zone_id,hh_sim,emp_sim
796,650,652
797,653,328
798,634,182
799,1603,329
800,535,540
801,337,152
802,886,1132
803,,
804,718,927
805,1371,656
806,548,413
807,632,271
808,220,1851
809,,321
810,286,1880
811,6,1082
812,1014,624
813,577,350
814,749,1338
815,79,26
816,734,561
817,,598
818,3,2029
819,229,278
820,612,886
821,204,721
822,997,303
823,202,201
824,454,286
825,395,88
826,349,91
827,507,305
828,706,188
829,1147,480
830,1315,452
831,695,568
832,457,1185
833,818,349
834,1416,1023
835,718,642
836,792,302
837,738,340
838,966,167
839,876,1000
840,541,73
841,453,292
842,252,293
843,10,5
844,33,720
845,10,403
846,466,50
847,137,26
848,361,14
849,152,7
850,129,13
851,74,
852,,
853,169,41
854,340,154
855,22,
856,88,1601
857,12,
858,19,23
859,27,32
860,257,90
861,553,116
862,128,
863,200,25
864,,1
865,8,270
866,240,78
867,666,64
868,1206,401
869,2,593
870,2,378
871,1434,377
872,294,741
873,3,3679
874,9,637
875,81,440
876,155,34
877,53,60
878,83,10
879,60,42
880,175,40
881,216,78
882,139,55
883,119,3
884,95,6
885,,
886,194,11
887,149,27
888,374,77
889,47,19
890,101,85
891,51,10
892,96,6
893,231,79
894,409,790
895,684,183
896,436,81
897,151,59
898,8,11
899,9,
900,481,143
901,1102,362
902,762,198
903,333,147
904,943,281
905,802,100
906,1138,225
907,876,74
908,627,344
909,165,45
910,79,124
911,152,453
912,209,138
913,304,177
914,552,361
915,614,829
916,371,137
917,353,120
918,360,12
919,675,314
920,207,23
921,237,198
922,1081,562
923,808,834
924,701,854
925,106,596
926,546,355
927,454,16
928,485,689
929,731,556
930,480,83
931,196,193
932,1,174
933,184,374
934,533,222
935,196,84
936,119,68
937,120,44
938,290,1194
939,99,84
940,,
941,58,33
942,62,87
943,40,2
944,213,31
945,126,480
946,15,630
947,35,1
948,131,356
949,475,336
950,31,81
951,352,31
952,122,368
953,12,478
954,123,37
955,89,105
956,56,20
957,57,175
958,221,7
959,186,33
960,16,8
961,4,
962,31,103
963,177,19
964,83,13
965,40,8
966,5,
967,15,
968,195,52
969,477,5
970,139,
971,9,12
972,673,79
973,956,297
974,572,69
975,1035,182
976,321,154
977,143,30
978,1338,237
979,261,2253
980,1846,456
981,161,253
982,107,146
983,72,90
984,90,282
985,34,2253
986,879,40
987,848,43
988,668,294
989,296,190
990,271,
991,48,43
992,84,85
993,202,
994,665,253
995,113,59
996,479,152
997,733,834
998,92,26
999,1198,685
1000,132,46
1001,9,
1002,43,118
1003,114,15
1004,,
1005,2,
1006,130,38
1007,6,234
1008,10,2668
1009,4,1388
1010,1221,436
1011,671,302
1012,1226,1406
1013,1198,423
1014,1380,424
1015,1710,259
1016,125,97
1017,13,
1018,56,7
1019,368,88
1020,1209,299
1021,1032,128
1022,595,251
1023,1287,347
1024,947,299
1025,1206,440
1026,2013,1338
1027,342,548
1028,167,180
1029,1083,297
1030,1363,935
1031,360,694
1032,488,35
1033,1410,185
1034,387,261
1035,945,239
1036,469,132
1037,419,862
1038,440,417
1039,6,814
1040,597,55
1041,965,185
1042,713,504
1043,10,497
1044,195,413
1045,651,513
1046,846,832
1047,313,1097
1048,934,160
1049,1172,195
1050,740,122
1051,595,143
1052,310,80
1053,604,326
1054,612,415
1055,370,1609
1056,666,1070
1057,523,293
1058,989,471
1059,586,182
1060,877,353
1061,811,66
1062,1109,135
1063,904,604
1064,611,49
1065,595,322
1066,1303,837
1067,683,199
1068,1278,398
1069,1021,93
1070,2,389
1071,5,832
1072,1030,98
1073,780,226
1074,1269,399
1075,142,234
1076,1038,400
1077,201,640
1078,1251,961
1079,525,717
1080,631,1287
1081,65,1
1082,253,171
1083,662,1096
1084,420,62
1085,199,60
1086,955,294
1087,825,168
1088,664,232
1089,539,483
1090,1088,1521
1091,642,411
1092,727,1145
1093,1138,78
1094,534,225
1095,281,39
1096,4,1774
1097,374,1132
1098,1184,808
1099,763,438
1100,442,54
1101,675,48
1102,1,40
1103,524,48
1104,389,41
1105,1389,125
1106,335,83
1107,521,62
1108,133,402
1109,623,1288
1110,798,944
1111,735,234
1112,706,465
1113,806,364
1114,562,204
1115,968,168
1116,759,586
1117,750,221
1118,631,371
1119,84,715
1120,,577
1121,452,1202
1122,1570,287
1123,914,169
1124,55,849
1125,329,1578
1126,9,247
1127,17,530
1128,1553,1757
1129,934,382
1130,714,297
1131,732,454
1132,518,1647
1133,1127,899
1134,732,373
1135,1,1551
1136,4,293
1137,17,736
1138,68,2805
1139,10,133
1140,63,293
1141,39,1435
1142,20,1071
1143,16,1880
1144,66,3033
1145,25,2210
1146,19,1779
1147,12,1040
1148,436,501
1149,925,359
1150,119,588
1151,270,387
1152,395,765
1153,638,306
1154,1813,1218
1155,934,1059
1156,446,169
1157,248,176
1158,357,484
1159,223,314
1160,30,577
1161,1111,953
1162,147,28
1163,503,227
1164,23,660
1165,778,616
1166,26,404
1167,22,3278
1168,4,1491
1169,294,925
1170,599,145
1171,8,128
1172,26,225
1173,134,1049
1174,407,542
1175,15,383
1176,1244,504
1177,516,749
1178,1245,211
1179,985,357
1180,232,464
1181,364,126
1182,308,945
1183,443,933
1184,48,921
1185,3,658
1186,133,516
1187,1523,532
1188,454,300
1189,,1479
1190,201,1346
1191,131,1136
1192,119,680
1193,5,2627
1194,8,2676
1195,7,629
1196,4,556
1197,7,669
1198,383,1155
1199,,790
1200,,519
1201,21,1714
1202,17,2394
1203,1,1364
1204,51,828
1205,4,1663
1206,113,998
1207,11,106
1208,16,572
1209,10,783
1210,,826
1211,6,511
1212,8,343
1213,229,359
1214,578,231
1215,964,129
1216,894,609
1217,1028,241
1218,,38
1219,,
1220,12,484
1221,34,61
1222,1125,108
1223,978,104
1224,1412,973
1225,1679,886
1226,,8
1227,335,6470
1228,76,322
1229,934,167
1230,881,773
1231,464,2191
1232,671,22
1233,17,
1234,17,
1235,,
1236,,
1237,,
1238,,
1239,,
1240,,
1241,,
1242,,
1243,,
1244,2315,196
1245,111,
1246,,
1247,111,
1248,,
1249,,
1250,,
1251,9,
1252,29,
1253,,
1254,,
1255,192,
1256,260,
1257,150,423
1258,58,736
1259,35,4
1260,34,3
1261,,
1262,15,1
1263,,
1264,87,16
1265,350,79
1266,4,
1267,,
1268,79,17
1269,,83
1270,106,783
1271,83,
1272,17,27
1273,927,491
1274,1051,156
1275,1,4
1276,,
1277,,466
1278,4,
1279,495,318
1280,22,63
1281,743,164
1282,,1480
1283,328,189
1284,709,378
1285,691,81
1286,67,835
1287,306,1279
1288,513,350
1289,709,256
1290,420,151
1291,643,443
1292,431,222
1293,876,636
1294,766,847
1295,720,555
1296,1383,500
1297,407,625
1298,608,649
1299,1369,1930
1300,1547,887
1301,1528,717
1302,1374,711
1303,553,321
1304,636,824
1305,,
1306,1184,1756
1307,48,14
1308,346,1538
1309,383,1168
1310,1017,176
1311,514,185
1312,408,104
1313,597,1350
1314,1,335
1315,239,904
1316,1538,455
1317,3,
1318,4,2212
1319,592,670
1320,40,1214
1321,29,900
1322,317,613
1323,13,649
1324,797,1401
1325,2,1258
1326,193,973
1327,447,1288
1328,89,374
1329,55,418
1330,9,809
1331,303,615
1332,172,1075
1333,2,138
1334,4,1102
1335,66,931
1336,451,758
1337,550,993
1338,61,602
1339,261,373
1340,497,182
1341,739,135
1342,1159,630
1343,300,117
1344,216,679
1345,133,769
1346,421,475
1347,220,1003
1348,405,73
1349,367,222
1350,238,14
1351,1287,416
1352,744,159
1353,672,377
1354,,120
1355,853,306
1356,124,222
1357,841,521
1358,477,130
1359,206,137
1360,208,473
1361,135,171
1362,400,114
1363,273,411
1364,119,1646
1365,760,2876
1366,10,553
1367,736,359
1368,577,1022
1369,470,1611
1370,204,4885
1371,970,2701
1372,1079,3426
1373,8,2467
1374,4,1117
1375,,2084
1376,,650
1377,4,1334
1378,4,439
1379,,
1380,255,96
1381,24,2024
1382,10,1140
1383,17,594
1384,638,935
1385,821,500
1386,895,154
1387,290,133
1388,1305,377
1389,888,531
1390,899,88
1391,425,449
1392,624,306
1393,739,341
1394,628,572
1395,547,325
1396,748,656
1397,290,605
1398,269,130
1399,,
1400,,
1401,452,2591
1402,28,2353
1403,15,768
1404,1,1912
1405,3,4790
1406,934,165
1407,941,87
1408,1426,347
1409,987,472
1410,313,35
1411,,
1412,23,6
1413,352,594
1414,748,589
1415,1142,142
1416,856,189
1417,677,140
1418,672,443
1419,758,168
1420,2,21
1421,57,
1422,8,516
1423,778,424
1424,1170,650
1425,882,324
1426,1275,1971
1427,1729,218
1428,1,3572
1429,34,3588
1430,51,740
1431,,
1432,7,742
1433,3,1233
1434,320,1050
1435,257,73
1436,,
1437,5,229
1438,4,2381
1439,4,2048
1440,11,52
1441,105,9
1442,317,187
1443,1652,1098
1444,213,409
1445,139,131
1446,135,347
1447,427,167
1448,234,2323
1449,910,801
1450,8,587
1451,47,622
1452,87,385
1453,450,570
1454,977,1210
1455,318,919
1456,509,524
1457,21,389
1458,,95
1459,10,1426
1460,8,585
1461,541,2172
1462,7,941
1463,1248,328
1464,1204,219
1465,1026,353
1466,1642,238
1467,913,343
1468,832,434
1469,115,738
1470,,1018
1471,33,2438
1472,259,6212
1473,1441,2563
1474,907,1445
1475,129,1824
1476,284,2106
1477,712,482
1478,1005,366
1479,805,221
1480,1426,368
1481,1188,553
1482,819,986
1483,645,502
1484,114,1640
1485,54,478
1486,193,1756
1487,563,228
1488,655,143
1489,752,450
1490,999,675
1491,825,162
1492,962,488
1493,1395,578
1494,726,681
1495,1480,551
1496,848,1767
1497,867,365
1498,1346,272
1499,1117,254
1500,2377,281
1501,2820,443
1502,1672,5221
1503,2099,588
1504,623,318
1505,744,510
1506,1138,1396
1507,715,1142
1508,38,2559
1509,6,3354
1510,526,207
1511,778,864
1512,312,223
1513,767,596
1514,319,1647
1515,304,186
1516,26,1027
1517,905,1088
1518,1824,1176
1519,3080,443
1520,5,170
1521,11,3861
1522,1626,2603
1523,1135,216
1524,754,373
1525,2463,498
1526,457,313
1527,818,886
1528,818,368
1529,1046,290
1530,1681,14406
1531,571,615
1532,456,64
1533,845,323
1534,538,226
1535,464,226
1536,,846
1537,409,2849
1538,693,665
1539,789,270
1540,502,296
1541,475,489
1542,313,248
1543,310,147
1544,976,239
1545,454,207
1546,883,49
1547,332,85
1548,1852,1624
1549,2842,235
1550,1710,84
1551,891,26
1552,7,60
1553,1322,489
1554,330,418
1555,124,638
1556,759,269
1557,806,817
1558,406,2196
1559,1047,305
1560,3770,518
1561,3,1134
1562,1269,190
1563,886,344
1564,1171,569
1565,818,311
1566,1143,336
1567,14,2138
1568,83,9
1569,523,79
1570,751,194
1571,1084,462
1572,944,346
1573,697,677
1574,921,234
1575,1187,643
1576,540,611
1577,71,734
1578,8,2199
1579,272,850
1580,723,69
1581,586,232
1582,903,676
1583,1191,776
1584,819,203
1585,403,67
1586,1401,584
1587,1057,296
1588,429,64
1589,224,18
1590,18,673
1591,2452,496
1592,224,321
1593,465,208
1594,1554,688
1595,281,64
1596,1448,520
1597,,1308
1598,2868,369
1599,411,334
1600,499,1383
1601,933,965
1602,798,395
1603,350,202
1604,583,173
1605,45,2597
1606,194,878
1607,234,76
1608,,15
1609,997,301
1610,1143,579
1611,622,409
1612,30,1797
1613,103,1511
1614,526,1642
1615,667,849
1616,1067,623
1617,704,537
1618,426,503
1619,1559,1194
1620,611,304
1621,377,590
1622,455,1972
1623,687,255
1624,371,128
1625,248,2893
1626,771,341
1627,876,355
1628,517,517
1629,763,750
1630,1269,376
1631,955,3895
1632,1014,657
1633,444,348
1634,509,2220
1635,96,2630
1636,115,135
1637,116,507
1638,532,730
1639,545,423
1640,288,2389
1641,565,206
1642,988,562
1643,346,139
1644,691,1992
1645,1090,87
1646,645,195
1647,294,95
1648,397,963
1649,703,2028
1650,945,780
1651,918,880
1652,776,3628
1653,69,3024
1654,189,1619
1655,491,1812
1656,2158,3352
1657,1108,775
1658,18,745
1659,821,157
1660,475,149
1661,645,120
1662,323,430
1663,181,29
1664,905,1255
1665,813,158
1666,1480,1129
1667,482,252
1668,602,466
1669,421,46
1670,2012,211
1671,724,1440
1672,1555,318
1673,4,835
1674,2247,676
1675,183,123
1676,736,565
1677,736,514
1678,328,1859
1679,206,486
1680,1032,843
1681,982,1217
1682,749,188
1683,487,126
1684,1443,670
1685,538,78
1686,1073,408
1687,,4799
1688,3,10043
1689,384,64
1690,251,49
1691,594,1160
1692,5,4598
1693,325,1550
1694,719,274
1695,15,25
1696,3,490
1697,18,127
1698,22,90
1699,7,98
1700,18,1204
1701,18,210
1702,8,29
1703,,40
1704,6,80
1705,16,142
1706,9,79
1707,8,169
1708,24,36
1709,20,19
1710,24,464
1711,4,5
1712,42,223
1713,1,162
1714,12,29
1715,10,691
1716,18,185
1717,1,2730
1718,45,464
1719,94,3473
1720,18,2
1721,91,36
1722,30,
1723,35,176
1724,88,86
1725,87,1148
1726,37,3108
1727,42,373
1728,51,178
1729,43,81
1730,35,763
1731,44,5
1732,20,773
1733,40,25
1734,31,672
1735,25,581
1736,46,340
1737,24,153
1738,382,712
1739,347,77
1740,648,247
1741,95,124
1742,30,766
1743,30,208
1744,39,896
1745,32,882
1746,,1319
1747,,335
1748,15,389
1749,50,2240
1750,15,1681
1751,1,1517
1752,97,725
1753,28,3484
1754,43,2531
1755,51,440
1756,46,1764
1757,19,2725
1758,27,9
1759,,176
1760,37,2451
1761,20,982
1762,2,428
1763,4,1476
1764,20,1580
1765,8,4752
1766,7,3455
1767,2,8
1768,63,200
1769,68,91
1770,33,
1771,34,801
1772,67,313
1773,268,741
1774,1034,2237
1775,25,127
1776,50,3109
1777,39,44
1778,68,2183
1779,22,627
1780,39,335
1781,4,1457
1782,10,756
1783,61,759
1784,3,
1785,1,1115
1786,2,1863
1787,15,63
1788,,3672
1789,,606
1790,4,113
1791,35,733
1792,7,190
1793,93,554
1794,66,368
1795,43,154
1796,96,91
1797,11,74
1798,2,594
1799,19,1234
1800,26,168
1801,59,573
1802,79,54
1803,79,579
1804,24,981
1805,39,1427
1806,35,78
1807,52,804
1808,26,347
1809,37,834
1810,96,804
1811,,1721
1812,41,432
1813,71,753
1814,66,823
1815,65,131
1816,68,291
1817,75,362
1818,16,827
1819,123,3203
1820,33,315
1821,11,135
1822,,
1823,28,583
1824,13,20
1825,1,
1826,6,836
1827,16,168
1828,2,37
1829,24,300
1830,49,119
1831,543,1563
1832,90,934
1833,319,2457
1834,277,1746
1835,1920,395
1836,1084,2854
1837,391,1908
1838,,3
1839,,35
1840,52,1360
1841,98,1030
1842,5,1611
1843,5,166
1844,95,1111
1845,,
1846,,
1847,19,1832
1848,,363
1849,,
1850,,1704
1851,5,12009
1852,,333
1853,6,1267
1854,,13
1855,,
1856,,
1857,,
1858,,
1859,,
1860,26,136
1861,,
1862,20,3515
1863,87,281
1864,46,70
1865,431,126
1866,64,
1867,,
1868,840,4376
1869,2258,5469
1870,109,43
1871,966,496
1872,1844,1837
1873,1528,753
1874,424,173
1875,1365,1045
1876,1238,601
1877,785,1237
1878,1093,1170
1879,698,739
1880,2633,1639
1881,266,363
1882,,351
1883,363,286
1884,302,518
1885,1129,790
1886,1944,280
1887,290,723
1888,1075,526
1889,835,132
1890,471,155
1891,582,740
1892,554,162
1893,755,260
1894,627,71
1895,463,47
1896,,148
1897,892,695
1898,645,217
1899,900,593
1900,444,164
1901,1556,64
1902,1237,339
1903,312,237
1904,30,472
1905,824,576
1906,510,206
1907,629,317
1908,441,398
1909,1438,679
1910,429,155
1911,570,59
1912,20,2221
1913,419,529
1914,441,862
1915,661,245
1916,4,984
1917,933,192
1918,134,1094
1919,503,1240
1920,4,938
1921,,2331
1922,498,34
1923,1338,247
1924,389,213
1925,658,1188
1926,1052,184
1927,845,189
1928,1189,394
1929,2,22
1930,59,16
1931,,
1932,347,185
1933,1422,579
1934,26,2418
1935,1236,1977
1936,14,930
1937,84,309
1938,87,948
1939,17,39
1940,,
1941,279,
1942,469,33
1943,,
1944,,
1945,58,44
1946,170,28
1947,,
1948,1188,25
1949,55,
1950,57,
1951,286,15
1952,130,12
1953,681,156
1954,1160,324
1955,475,149
1956,1001,343
1957,471,97
1958,301,57
1959,466,5
1960,10,
1961,,
1962,63,9
1963,171,14
1964,189,108
1965,54,10
1966,45,10
1967,61,11
1968,6,794
1969,1,189
1970,83,11
1971,,
1972,138,9
1973,338,33
1974,284,
1975,,
1976,,
1977,327,
1978,359,
1979,333,
1980,647,169
1981,261,37
1982,142,8
1983,,
1984,19,
1985,,
1986,9,17
1987,,
1988,187,1
1989,356,
1990,,
1991,712,
1992,91,154
1993,216,
1994,38,232
1995,,
1996,,
1997,,
1998,115,34
1999,23,30
2000,26,38
2001,,
2002,,
2003,61,
2004,,
2005,337,555
2006,11,1
2007,187,100
2008,84,181
2009,98,3449
2010,177,26
2011,47,11
2012,63,1
2013,65,8
2014,,
2015,174,100
2016,140,40
2017,,
2018,1057,502
2019,1377,117
2020,1582,143
2021,336,66
2022,707,96
2023,601,239
2024,540,78
2025,733,415
2026,626,328
2027,718,748
2028,991,309
2029,746,702
2030,1460,897
2031,857,136
2032,324,215
2033,83,20
2034,,2
2035,,
2036,,
2037,,
2038,215,77
2039,461,92
2040,284,79
2041,969,307
2042,1018,217
2043,1255,499
2044,1636,527
2045,1283,96
2046,498,408
2047,956,308
2048,,312
2049,802,230
2050,126,196
2051,1277,150
2052,1104,715
2053,783,388
2054,1446,322
2055,296,185
2056,608,387
2057,1161,379
2058,525,620
2059,144,954
2060,,1180
2061,152,545
2062,714,632
2063,974,435
2064,782,188
2065,1069,396
2066,691,1082
2067,2270,177
2068,3,1653
2069,66,209
2070,928,670
2071,1736,606
2072,796,541
2073,755,99
2074,1141,570
2075,903,436
2076,511,49
2077,453,137
2078,907,576
2079,244,232
2080,853,327
2081,836,157
2082,924,1648
2083,,1170
2084,378,176
2085,430,308
2086,884,248
2087,223,3594
2088,5,220
