zone_id,hh_sim,emp_sim
1,31,1
2,1127,81
3,868,68
4,219,76
5,48,1
6,1484,219
7,228,256
8,736,347
9,1298,443
10,778,447
11,1858,358
12,1077,135
13,935,475
14,30,
15,650,324
16,316,648
17,231,532
18,549,384
19,155,14
20,209,61
21,182,89
22,550,1885
23,225,444
24,189,170
25,44,306
26,347,1932
27,487,157
28,67,373
29,285,259
30,38,24
31,1032,377
32,339,1321
33,3,4529
34,25,14
35,375,180
36,45,89
37,2,7
38,7,160
39,2,468
40,314,1159
41,424,146
42,13,46
43,809,178
44,160,63
45,195,216
46,59,29
47,746,171
48,836,95
49,564,165
50,552,1999
51,,1264
52,3,3211
53,170,335
54,49,42
55,455,435
56,86,19
57,1713,133
58,213,918
59,644,88
60,454,103
61,60,19
62,20,
63,58,98
64,10,21
65,60,12
66,168,86
67,817,161
68,280,33
69,415,84
70,64,25
71,52,70
72,76,110
73,29,32
74,72,29
75,38,169
76,,28
77,655,84
78,363,65
79,1003,109
80,10,2131
81,45,34
82,274,549
83,28,386
84,34,54
85,108,18
86,16,12
87,45,488
88,8,
89,344,56
90,627,39
91,29,13
92,582,116
93,166,2845
94,98,38
95,451,112
96,132,44
97,121,32
98,12,477
99,1,36
100,,4469
101,10,1920
102,86,122
103,233,583
104,133,1676
105,81,90
106,13,437
107,1418,4420
108,221,70
109,1051,762
110,595,75
111,966,131
112,106,17
113,54,2
114,783,262
115,1091,203
116,1111,24
117,70,619
118,1130,281
119,463,101
120,709,553
121,1328,264
122,653,427
123,367,68
124,637,773
125,370,430
126,272,1187
127,1048,146
128,1014,202
129,867,407
130,329,49
131,873,83
132,408,168
133,144,86
134,23,332
135,5,2
136,96,54
137,74,1343
138,18,201
139,28,389
140,27,954
141,45,38
142,20,42
143,2,3
144,931,276
145,827,645
146,27,88
147,609,233
148,50,254
149,92,114
150,67,56
151,70,155
152,88,16
153,4,36
154,115,836
155,4,884
156,82,110
157,1770,221
158,504,154
159,1409,144
160,734,239
161,992,57
162,221,722
163,1233,843
164,1291,560
165,1044,2360
166,17,174
167,690,108
168,925,339
169,52,116
170,1385,134
171,1144,765
172,947,596
173,159,1368
174,1173,365
175,734,108
176,336,21
177,55,37
178,32,188
179,7,1708
180,155,642
181,168,3072
182,,550
183,584,85
184,245,164
185,37,530
186,98,337
187,127,2076
188,775,513
189,802,101
190,490,1500
191,7,2163
192,3,2522
193,458,1830
194,771,334
195,2279,642
196,1298,94
197,811,804
198,150,939
199,92,261
200,34,137
201,171,160
202,486,74
203,99,553
204,316,68
205,145,390
206,18,202
207,347,365
208,354,49
209,247,81
210,208,865
211,767,162
212,247,700
213,554,564
214,895,467
215,38,14
216,484,126
217,42,55
218,41,110
219,740,431
220,2077,627
221,833,456
222,500,523
223,991,280
224,519,218
225,1221,730
226,149,208
227,1238,475
228,142,430
229,247,144
230,133,46
231,61,118
232,42,66
233,28,65
234,373,104
235,180,5098
236,829,253
237,1495,1150
238,627,57
239,935,135
240,634,1358
241,613,66
242,783,421
243,6,30
244,1401,707
245,609,215
246,5,1144
247,621,544
248,3,355
249,2,503
250,100,9
251,,
252,446,2818
253,,7
254,,
255,743,221
256,11,29
257,7,2415
258,44,1435
259,1510,231
260,4,516
261,,108
262,2,223
263,18,383
264,60,19
265,63,24
266,4,1231
267,25,369
268,208,602
269,88,359
270,11,8
271,23,7
272,25,88
273,,
274,,10
275,27,1171
276,157,80
277,2678,745
278,544,100
279,559,123
280,678,445
281,2550,89
282,,1830
283,1355,446
284,227,118
285,7,18
286,,
287,1670,1113
288,608,732
289,13,12462
290,666,296
291,1,310
292,4,2928
293,1525,854
294,502,83
295,347,36
296,450,39
297,605,134
298,,
299,994,31
300,3142,702
301,1819,376
302,829,242
303,4,8
304,3,1528
305,57,687
306,143,347
307,628,244
308,7,1936
309,733,18
310,1488,154
311,1287,1083
312,862,117
313,687,251
314,6,
315,4,1194
316,360,133
317,743,190
318,599,222
319,1298,199
320,218,111
321,658,176
322,118,24
323,324,123
324,1193,248
325,11,918
326,365,288
327,491,91
328,759,304
329,265,38
330,386,61
331,33,381
332,1077,216
333,17,
334,81,7
335,951,602
336,1637,675
337,270,42
338,252,67
339,113,162
340,191,157
341,635,380
342,318,110
343,378,275
344,638,110
345,76,921
346,520,98
347,686,262
348,839,146
349,458,93
350,1153,594
351,667,335
352,690,780
353,272,800
354,425,509
355,2041,543
356,2,404
357,41,448
358,1051,192
359,465,25
360,4,922
361,,1296
362,8,1428
363,345,786
364,65,494
365,459,888
366,645,79
367,540,247
368,93,2244
369,761,632
370,695,801
371,439,108
372,585,1373
373,194,153
374,206,3657
375,275,949
376,78,3355
377,119,1055
378,1083,772
379,1454,741
380,157,666
381,225,1813
382,1,982
383,25,2176
384,,749
385,,182
386,,761
387,,1574
388,4,1594
389,7,2446
390,1,1172
391,5,278
392,284,1574
393,24,2135
394,1,2975
395,1350,300
396,135,2487
397,5,495
398,267,868
399,655,133
400,21,40
401,989,419
402,1061,106
403,74,914
404,96,604
405,547,32
406,603,187
407,1240,687
408,9,5
409,351,569
410,239,187
411,239,99
412,358,337
413,669,399
414,349,771
415,7,847
416,,
417,124,337
418,,
419,15,267
420,1990,748
421,1180,458
422,89,1633
423,224,441
424,3,736
425,4,4233
426,14,2
427,105,29
428,1494,124
429,549,89
430,1332,143
431,924,474
432,86,40
433,75,1799
434,,305
435,281,36
436,1,138
437,18,481
438,807,411
439,713,617
440,256,315
441,8,498
442,766,525
443,1112,313
444,998,748
445,23,112
446,316,85
447,,
448,2523,
449,631,219
450,1147,834
451,11,1000
452,1670,49
453,2165,265
454,4,1468
455,168,1518
